id,first_name,last_name,gender,robot_serial,robot_color,field_test_1,field_test_2,field_test_3
823,Ruprecht,Vannuccinii,Male,RS:442_9818,Crimson,75,77,79
824,Putnam,Holleworth,Male,RS:710_0156,Pink,54,51,81
825,Emogene,Dudney,Female,RS:212_8058,Teal,95,64,80
826,Donny,Caldecourt,Female,RS:786_0941,Yellow,84,61,53
827,Ame,Harcus,Female,RS:029_2409,Fuscia,60,45,86
828,Clerissa,Hallihane,Female,RS:683_0225,Turquoise,86,42,95
829,Joeann,Caseley,Female,RS:905_6985,Yellow,82,59,45
830,Zitella,Flanner,Female,RS:264_5115,Fuscia,98,90,93
831,Lin,Kilbourn,Male,RS:207_3867,Mauv,67,75,45
832,Hephzibah,Puckring,Female,RS:411_2914,Violet,93,97,69
833,Trey,Widdup,Male,RS:128_2702,Mauv,77,81,56
834,Lorraine,Norkett,Female,RS:230_9945,Yellow,51,79,57
835,Norrie,Gleaves,Male,RS:412_0672,Red,78,47,77
836,Peadar,Mockes,Male,RS:948_9884,Red,97,43,36
837,Fanchon,Sellen,Female,RS:460_0383,Fuscia,65,75,67
838,Nady,Vasentsov,Female,RS:141_1745,Indigo,99,94,86
839,Rozanna,Buckley,Female,RS:595_8486,Maroon,87,53,70
840,Laurie,Blythe,Female,RS:400_4005,Orange,87,52,54
841,Joaquin,Ellison,Male,RS:707_3499,Red,54,46,46
842,Ambrosius,Knill,Male,RS:086_0497,Mauv,50,37,52
843,Tallia,Milton,Female,RS:219_4199,Khaki,87,66,100
844,Adamo,Wordesworth,Male,RS:941_1263,Yellow,84,54,66
845,Ive,Colkett,Male,RS:602_5747,Fuscia,66,80,63
846,Dacie,Lantuff,Female,RS:554_2469,Maroon,93,38,98
847,Juieta,McCurdy,Female,RS:157_4614,Puce,96,68,39
848,Nicolais,MacAdam,Male,RS:448_1945,Maroon,58,38,89
849,Dukey,Ehrat,Male,RS:061_7968,Blue,88,63,96
850,Salvador,Thonger,Male,RS:846_6744,Crimson,64,74,35
851,Annalee,Coole,Female,RS:050_0938,Violet,59,41,51
852,Dodie,Colenutt,Female,RS:941_8928,Fuscia,79,95,51
853,Norbert,Labrenz,Male,RS:659_0021,Green,82,99,37
854,Lillian,Cleaver,Female,RS:934_5027,Teal,55,44,62
855,Rorie,Kleinhaut,Female,RS:696_0588,Indigo,90,78,42
856,Anatole,Sparkwell,Male,RS:031_4021,Blue,86,42,95
857,Nolly,MacConchie,Male,RS:525_3934,Violet,58,83,99
858,Rochester,Berka,Male,RS:644_1927,Khaki,85,46,76
859,Yule,Liddard,Male,RS:287_7570,Pink,54,41,38
860,Knox,Praton,Male,RS:915_1703,Turquoise,82,42,83
861,Hubie,Gammon,Male,RS:229_5043,Crimson,71,98,84
862,Fairleigh,Lazar,Male,RS:801_8532,Orange,64,49,56
863,Angie,Cheer,Male,RS:940_3944,Khaki,99,67,48
864,Boony,Muffitt,Male,RS:707_2324,Teal,100,37,74
865,Wilek,Goakes,Male,RS:661_7219,Aquamarine,76,99,48
866,Laney,Lapidus,Female,RS:239_7546,Maroon,72,97,46
867,Mathilda,Westphalen,Female,RS:976_4112,Orange,51,63,93
868,Cordula,Metts,Female,RS:929_2853,Goldenrod,65,83,73
869,Lilith,Kimbley,Female,RS:997_1462,Fuscia,75,95,45
870,Adora,Lineen,Female,RS:686_3065,Green,96,59,92
871,Ekaterina,Vosse,Female,RS:826_2503,Khaki,98,63,46
872,Arlie,Kivlehan,Female,RS:984_9703,Teal,60,90,70
873,Bernete,Vatcher,Female,RS:023_6053,Blue,74,51,86
874,Carlotta,O'Heffernan,Female,RS:945_9512,Red,71,64,48
875,Brodie,Botterill,Male,RS:738_7227,Orange,66,46,39
876,Corene,Gislebert,Female,RS:648_9960,Purple,99,43,71
877,Marcel,McTeer,Male,RS:180_6248,Mauv,95,37,93
878,Emmanuel,Rodear,Male,RS:975_2256,Mauv,98,47,73
879,Des,Adess,Male,RS:073_6868,Yellow,81,81,79
880,Miriam,Dyde,Female,RS:986_0430,Maroon,74,79,73
881,Auria,Corss,Female,RS:088_3324,Green,86,74,84
882,Marybeth,Storks,Female,RS:704_8265,Red,75,48,43
883,Demetrius,Roman,Male,RS:740_5224,Maroon,66,47,58
884,Lenee,Rutley,Female,RS:064_0136,Violet,52,68,77
885,Jerry,Geraldini,Male,RS:590_8787,Aquamarine,85,54,64
886,Yolanda,Abberley,Female,RS:906_7366,Mauv,91,38,64
887,Tabina,Beaulieu,Female,RS:071_1098,Yellow,62,43,70
888,Analiese,Mutton,Female,RS:867_3220,Blue,72,88,64
889,Phylys,Paradise,Female,RS:797_7554,Orange,56,81,49
890,Augusto,Sturges,Male,RS:050_4424,Red,50,100,63
891,Herschel,Seczyk,Male,RS:358_0441,Green,60,68,48
892,Urbanus,Beernaert,Male,RS:341_8811,Red,70,38,35
893,Aguste,Vondrak,Male,RS:254_4234,Purple,78,83,44
894,Nickey,Gladwin,Male,RS:533_6617,Crimson,57,69,70
895,Emalee,Elie,Female,RS:941_0620,Indigo,96,94,55
896,Alonso,Stoyell,Male,RS:586_7652,Orange,98,90,37
897,Adela,Deathridge,Female,RS:991_5882,Crimson,87,41,90
898,Gerladina,Cleminson,Female,RS:957_7978,Fuscia,64,74,90
899,Ingra,Mushrow,Male,RS:534_6336,Red,86,38,63
900,Martguerita,Burrow,Female,RS:109_7568,Puce,62,76,42
901,Wilow,Dullard,Female,RS:871_8631,Aquamarine,85,100,98
902,Arlyn,Gradon,Female,RS:319_1425,Khaki,90,75,84
903,Horatius,Bunyard,Male,RS:353_2491,Khaki,63,46,44
904,Brice,Sparrowhawk,Male,RS:200_3901,Indigo,62,95,52
905,Margaretta,Alldis,Female,RS:676_5394,Green,50,64,54
906,El,Millery,Male,RS:927_3024,Orange,75,97,92
907,Jandy,Blaycock,Female,RS:077_5678,Green,55,40,38
908,Dorisa,Seally,Female,RS:636_3963,Violet,69,39,80
909,Nicolai,Sweynson,Male,RS:069_4890,Violet,76,74,95
910,Arlette,Steutly,Female,RS:007_3870,Purple,60,51,40
911,Eleanore,Stidson,Female,RS:498_5180,Red,82,68,99
912,Howie,Duguid,Male,RS:242_4640,Aquamarine,55,85,41
913,Verna,Betancourt,Female,RS:384_8946,Mauv,83,80,37
914,Coleen,McFetridge,Female,RS:175_1752,Green,75,80,40
915,Gherardo,Timmons,Male,RS:848_7550,Blue,72,99,41
916,Deeanne,Sellack,Female,RS:413_2458,Crimson,95,59,100
917,Clio,Margetson,Female,RS:513_3120,Goldenrod,69,96,40
918,Maxwell,North,Male,RS:483_9816,Aquamarine,85,37,52
919,Valery,Kitchiner,Female,RS:711_4591,Puce,80,85,47
920,Shani,Chisholm,Female,RS:379_4435,Khaki,52,92,80
921,Kelvin,Colcutt,Male,RS:931_6328,Orange,74,53,44
922,Portie,Bashford,Male,RS:003_6845,Crimson,58,80,55
923,Heath,Pawnsford,Male,RS:836_0144,Goldenrod,75,49,100
924,Allin,Maghull,Male,RS:656_1777,Green,91,86,41
925,Jedediah,Gumm,Male,RS:651_6753,Red,80,88,86
926,Demetra,MacLennan,Female,RS:464_0004,Pink,54,98,83
927,Ricoriki,Petegre,Male,RS:800_4782,Red,94,51,51
928,Courtnay,Suttle,Male,RS:638_3893,Red,81,39,69
929,Gilbertine,Giorgini,Female,RS:459_7378,Puce,100,71,96
930,Cyndia,Shinton,Female,RS:062_7102,Mauv,84,73,85
931,Adele,Raspin,Female,RS:271_5963,Crimson,75,87,40
932,Jammie,Duxbury,Female,RS:212_0847,Aquamarine,97,49,87
933,Salomo,Dredge,Male,RS:063_4861,Crimson,52,65,73
934,Bliss,Jurasek,Female,RS:676_1980,Purple,64,98,35
935,Rachelle,Dodridge,Female,RS:453_5335,Red,60,77,59
936,Aimee,Clerke,Female,RS:160_4912,Maroon,66,92,40
937,Ade,Hughes,Male,RS:885_1520,Crimson,88,47,48
938,Halli,Burgott,Female,RS:750_4710,Violet,99,62,39
939,Doria,Keers,Female,RS:057_7329,Mauv,68,40,60
940,Orlan,Shearmer,Male,RS:954_6793,Orange,76,75,41
941,Monte,Peeke-Vout,Male,RS:332_6376,Orange,91,60,84
942,Maressa,Thumann,Female,RS:448_2218,Mauv,70,40,49
943,Nappy,Lelliott,Male,RS:839_8847,Khaki,99,84,64
944,Christabel,Lukehurst,Female,RS:194_7607,Violet,57,88,70
945,Flossie,Ditty,Female,RS:202_9287,Aquamarine,69,41,40
946,Cal,Hencke,Male,RS:073_4899,Red,53,69,77
947,Ophelie,Littledyke,Female,RS:914_7689,Orange,86,38,98
948,Kirk,Argo,Male,RS:222_4873,Violet,60,99,95
949,Bellina,Albinson,Female,RS:694_3803,Turquoise,68,55,75
950,Hedwig,Brient,Female,RS:484_2742,Goldenrod,56,65,94
951,Aldous,Ismirnioglou,Male,RS:091_0308,Green,82,58,79
952,Bordy,Leechman,Male,RS:287_4607,Red,54,40,71
953,Clemmie,Langdale,Male,RS:466_2609,Mauv,82,76,78
954,Jilly,Tremayne,Female,RS:504_4598,Goldenrod,78,57,54
955,Red,Fricke,Male,RS:706_8264,Green,60,51,95
956,Louis,Allkins,Male,RS:608_9695,Mauv,56,59,36
957,Dov,Darrach,Male,RS:282_2717,Pink,54,36,75
958,Ronald,Giacoppo,Male,RS:008_7133,Mauv,84,69,89
959,Joannes,Buffey,Female,RS:457_5698,Aquamarine,75,93,83
960,Gardener,Fores,Male,RS:476_0358,Maroon,96,97,80
961,Briny,Tamplin,Female,RS:521_8169,Crimson,54,83,58
962,Brittne,Theodoris,Female,RS:665_6092,Orange,83,87,88
963,Gar,Attril,Male,RS:427_1432,Goldenrod,72,55,83
964,Cosimo,Cowope,Male,RS:774_5105,Pink,81,56,42
965,Cornie,Wallman,Female,RS:047_9121,Crimson,97,70,68
966,Sidonia,Gianni,Female,RS:288_1781,Indigo,63,60,70
967,Emelen,Morland,Male,RS:948_3035,Blue,59,90,55
968,Ash,Corns,Male,RS:058_1118,Green,70,57,84
969,Vergil,Egdal,Male,RS:178_1220,Teal,69,44,79
970,Emera,Rivaland,Female,RS:567_1106,Aquamarine,75,78,79
971,Meggy,Balham,Female,RS:419_9728,Khaki,70,82,82
972,Ailbert,Skews,Male,RS:935_3632,Yellow,64,80,63
973,Aubine,Bathowe,Female,RS:379_6564,Purple,67,100,36
974,Marieann,Pauluzzi,Female,RS:402_5377,Turquoise,87,61,56
975,Yard,Ettels,Male,RS:883_1071,Orange,55,74,75
976,Alexio,Hambly,Male,RS:464_9368,Khaki,90,65,99
977,Levin,Seczyk,Male,RS:271_9548,Mauv,50,77,77
978,Jayson,Runcie,Male,RS:749_0400,Crimson,70,61,72
979,Will,Pedro,Male,RS:961_0136,Goldenrod,53,39,69
980,Gallagher,Weaver,Male,RS:029_9517,Aquamarine,76,39,79
981,Hermy,Thody,Male,RS:198_2838,Blue,51,65,83
982,Florrie,Tuminini,Female,RS:885_3172,Khaki,66,70,93
983,Maighdiln,Tilson,Female,RS:719_5465,Orange,64,46,67
984,Wait,Bonsall,Male,RS:837_2095,Aquamarine,84,66,36
985,Beaufort,Maiden,Male,RS:595_4020,Puce,59,52,60
986,Palm,Bodman,Male,RS:239_2070,Green,52,90,93
987,Robinette,Lyddy,Female,RS:245_6825,Violet,75,44,85
988,Dilan,Dulling,Male,RS:882_8714,Green,64,82,56
989,Elvis,Bugbird,Male,RS:476_1881,Green,76,85,87
990,Cicely,Wind,Female,RS:782_4730,Maroon,67,74,92
991,Brenden,Hazeldine,Male,RS:799_3670,Khaki,51,63,61
992,Oliver,Cattermoul,Male,RS:953_8469,Mauv,90,97,64
993,Bastien,Lankester,Male,RS:993_9805,Maroon,67,90,75
994,Hilario,Joincey,Male,RS:349_6945,Red,82,70,37
995,Teodor,Getcliff,Male,RS:045_7779,Crimson,74,61,74
996,Curt,Niess,Male,RS:524_5746,Goldenrod,54,75,84
997,Stacey,O'Hartagan,Female,RS:951_8189,Blue,89,43,66
998,Fairfax,Dayne,Male,RS:423_1426,Pink,82,66,51
999,Damiano,Blasius,Male,RS:537_2175,Violet,95,58,56
1000,Itch,Jahns,Male,RS:951_8926,Puce,61,97,36
